CATEGORIA_ESTANDAR,NOMBRE DE LAS PREPARACIONES,Prom_Agua,Prom_Energa,Prom_Grasa,Prom_Protenas,categoria_general
pechuga_a_la_parrilla_+_1_chor,"Pechuga a la parrilla + 1 chorizo + 1 anticucho de corazón de pollo
+ papas fritas",65.2,198.0,12.8,9.2,pechuga
pechuga_a_la_plancha_con_ensal,Pechuga a la plancha con ensalada y arroz,56.2,132.0,3.7,6.7,pechuga
pejerrey_arrebosado,Pejerrey arrebosado,66.5,172.0,9.3,6.9,pejerrey
pescado_a_la_chorrillana_con_a,Pescado a la chorrillana con arroz,35.1,224.0,12.3,5.4,pescado
pescado_a_lo_macho_con_arroz,Pescado a lo macho con arroz,34.5,167.0,5.7,7.35,pescado
pescado_con_arroz,Pescado con arroz,40.5,147.5,3.63,6.73,pescado
pescado_con_ensalada_y_arroz,Pescado con ensalada y arroz,35.5,155.0,2.6,7.6,pescado
pescado_con_menestra_y_arroz,Pescado con menestra y arroz,20.75,176.25,5.15,7.68,pescado
pescado_en_salsa_de_champinone,Pescado en salsa de champiñones con arroz,47.0,183.0,9.0,6.7,pescado
pescado_en_salsa_de_langostino,Pescado en salsa de langostinos con arroz,33.1,178.0,5.0,6.1,pescado
picante_de_cuy_con_arroz,Picante de cuy con arroz,56.65,194.5,9.05,4.35,picante
picante_de_pollo_con_arroz,Picante de pollo con arroz,45.6,375.0,32.1,13.1,picante
picante_de_res_con_arroz,Picante de res con arroz,35.8,118.0,1.6,4.9,picante
pizza_americana_personal,Pizza americana personal,53.1,203.0,7.3,7.7,pizza
pollo_a_la_brasa_+_1_palito_de,Pollo a la brasa + 1 palito de anticucho con papas fritas,69.9,146.0,7.9,9.7,pollo
pollo_a_la_brasa_con_papas_fri,Pollo a la brasa con papas fritas,60.36,176.6,9.7,8.06,pollo
pollo_a_la_chiclayana_con_arro,Pollo a la chiclayana con arroz,46.1,137.0,1.5,8.7,pollo
pollo_a_la_chiclayana_con_mene,Pollo a la chiclayana con menestra y arroz,49.5,121.0,1.0,7.5,pollo
pollo_a_la_huachana_con_menest,Pollo a la huachana con menestra y arroz,33.0,134.0,3.2,7.4,pollo
pollo_a_la_lena,Pollo a la leña,66.4,163.0,9.8,3.3,pollo
pollo_a_la_naranja_con_arroz,Pollo a la naranja con arroz,59.5,128.0,2.7,10.1,pollo
pollo_a_la_nortena_con_arroz,Pollo a la norteña con arroz,42.57,137.33,1.93,8.8,pollo
pollo_a_la_nortena_con_menestr,Pollo a la norteña con menestra y arroz,28.07,117.0,2.0,8.4,pollo
pollo_a_la_olla_con_arroz,Pollo a la olla con arroz,42.0,150.0,2.4,7.3,pollo
pollo_a_la_olla_con_ensalada_y,Pollo a la olla con ensalada y arroz,43.1,121.0,1.8,6.05,pollo
pollo_a_la_olla_con_menestra_y,Pollo a la olla con menestra y arroz,22.63,159.33,1.97,8.27,pollo
pollo_a_la_olla_con_pure_y_arr,Pollo a la olla con puré y arroz,31.85,120.5,1.75,4.9,pollo
pollo_a_la_parrilla_con_arroz_,Pollo a la parrilla con arroz y papas fritas,43.4,273.0,20.7,7.4,pollo
pollo_a_la_parrilla_con_ensala,Pollo a la parrilla con ensalada rusa y arroz,48.6,128.5,5.6,6.6,pollo
pollo_a_la_parrilla_con_ensala,Pollo a la parrilla con ensalada y arroz,37.2,149.5,3.3,6.35,pollo
pollo_a_la_parrilla_con_pure_y,Pollo a la parrilla con puré y arroz,48.9,133.0,3.8,5.6,pollo
pollo_a_la_plancha_con_arroz,Pollo a la plancha con arroz,65.6,81.0,0.9,4.8,pollo
pollo_a_la_plancha_con_ensalad,Pollo a la plancha con ensalada y arroz,34.6,140.5,0.75,5.85,pollo
pollo_a_la_plancha_con_menestr,Pollo a la plancha con menestra y arroz,21.8,172.5,1.45,10.1,pollo
pollo_a_la_plancha_con_papas_d,Pollo a la plancha con papas doradas y arroz,33.1,158.0,4.0,3.1,pollo
pollo_a_la_plancha_con_papas_f,Pollo a la plancha con papas fritas y arroz,47.0,136.5,2.4,5.45,pollo
pollo_a_la_plancha_con_papas_f,"Pollo a la plancha con papas fritas, ensalada y arroz",49.7,165.0,7.1,7.3,pollo
pollo_a_la_plancha_con_pure_y_,Pollo a la plancha con puré y arroz,41.8,133.0,3.6,9.0,pollo
pollo_al_aji_con_menestra_y_ar,Pollo al ají con menestra y arroz,18.5,137.0,0.9,5.2,pollo
pollo_al_horno_con_arroz,Pollo al horno con arroz,35.24,150.0,2.36,7.52,pollo
pollo_al_horno_con_ensalada_ru,Pollo al horno con ensalada rusa y arroz,48.22,146.0,3.34,7.62,pollo
pollo_al_horno_con_ensalada_y_,Pollo al horno con ensalada y arroz,40.0,144.5,3.13,6.83,pollo
pollo_al_horno_con_menestra_y_,Pollo al horno con menestra y arroz,24.68,148.75,2.58,8.38,pollo
pollo_al_horno_con_menestra_en,"Pollo al horno con menestra, ensalada y arroz",29.9,116.0,2.15,6.05,pollo
pollo_al_horno_con_pure_y_arro,Pollo al horno con pure y arroz,38.0,144.5,3.15,7.18,pollo
pollo_al_horno_con_pure_ensala,"Pollo al horno con puré, ensalada y arroz",49.35,132.0,2.8,8.0,pollo
